ng_state,X_cor,Y_cor
Abia,-69, -199
Adamawa,213, 30
Akwa Ibom,-42, -230
Anambra,-102, -162
Bauchi,66, 86
Bayelsa,-165, -234
Benue,4, -86
Borno,270, 179
Cross River,-4, -173
Delta,-164, -194
Ebonyi,-31, -140
Edo,-156, -126
Ekiti,-196, -69
Enugu,-75, -129
Gombe,148, 88
Imo,-95, -192
Jigawa,49, 199
Kaduna,-53, 81
Kano,-13, 170
Katsina,-69, 219
Kebbi,-270, 181
Kogi,-132, -59
Kwara,-232, -13
Lagos,-293, -141
Nasarawa,-33, -19
Niger,-167, 61
Ogun,-319, -106
Ondo,-208, -105
Osun,-240, -81
Oyo,-297, -40
Plateau,61, 12
Rivers,-106, -225
Sokoto,-190, 252
Taraba,114, -45
Yobe,164, 208
Zamfara,-147, 187
